Gene.ID	name	Row.names
21ur.type2-2489	21ur.type2-2489	21ur.type2-2489
21ur.type2-2490	21ur.type2-2490	21ur.type2-2490
21ur.type2-2498	21ur.type2-2498	21ur.type2-2498
21ur.type2-2507	21ur.type2-2507	21ur.type2-2507
21ur.type2-2508	21ur.type2-2508	21ur.type2-2508
21ur.type2-251	21ur.type2-251	21ur.type2-251
21ur.type2-2513	21ur.type2-2513	21ur.type2-2513
21ur.type2-2514	21ur.type2-2514	21ur.type2-2514
21ur.type2-2530	21ur.type2-2530	21ur.type2-2530
21ur.type2-2532	21ur.type2-2532	21ur.type2-2532
21ur.type2-2536	21ur.type2-2536	21ur.type2-2536
21ur.type2-2544	21ur.type2-2544	21ur.type2-2544
21ur.type2-2549	21ur.type2-2549	21ur.type2-2549
21ur.type2-255	21ur.type2-255	21ur.type2-255
21ur.type2-2557	21ur.type2-2557	21ur.type2-2557
21ur.type2-2558	21ur.type2-2558	21ur.type2-2558
21ur.type2-256	21ur.type2-256	21ur.type2-256
21ur.type2-2561	21ur.type2-2561	21ur.type2-2561
21ur.type2-2565	21ur.type2-2565	21ur.type2-2565
21ur.type2-257	21ur.type2-257	21ur.type2-257
21ur.type2-2570	21ur.type2-2570	21ur.type2-2570
21ur.type2-2575	21ur.type2-2575	21ur.type2-2575
21ur.type2-2579	21ur.type2-2579	21ur.type2-2579
21ur.type2-2580	21ur.type2-2580	21ur.type2-2580
21ur.type2-2586	21ur.type2-2586	21ur.type2-2586
21ur.type2-259	21ur.type2-259	21ur.type2-259
21ur.type2-2595	21ur.type2-2595	21ur.type2-2595
21ur.type2-2598	21ur.type2-2598	21ur.type2-2598
21ur.type2-26	21ur.type2-26	21ur.type2-26
21ur.type2-260	21ur.type2-260	21ur.type2-260
21ur.type2-2611	21ur.type2-2611	21ur.type2-2611
21ur.type2-2616	21ur.type2-2616	21ur.type2-2616
21ur.type2-2618	21ur.type2-2618	21ur.type2-2618
21ur.type2-262	21ur.type2-262	21ur.type2-262
21ur.type2-2620	21ur.type2-2620	21ur.type2-2620
21ur.type2-2622	21ur.type2-2622	21ur.type2-2622
21ur.type2-2623	21ur.type2-2623	21ur.type2-2623
21ur.type2-2624	21ur.type2-2624	21ur.type2-2624
21ur.type2-2639	21ur.type2-2639	21ur.type2-2639
21ur.type2-2644	21ur.type2-2644	21ur.type2-2644
21ur.type2-2648	21ur.type2-2648	21ur.type2-2648
21ur.type2-2650	21ur.type2-2650	21ur.type2-2650
21ur.type2-2656	21ur.type2-2656	21ur.type2-2656
21ur.type2-2657	21ur.type2-2657	21ur.type2-2657
21ur.type2-2663	21ur.type2-2663	21ur.type2-2663
21ur.type2-2666	21ur.type2-2666	21ur.type2-2666
21ur.type2-267	21ur.type2-267	21ur.type2-267
21ur.type2-2671	21ur.type2-2671	21ur.type2-2671
21ur.type2-2674	21ur.type2-2674	21ur.type2-2674
21ur.type2-2681	21ur.type2-2681	21ur.type2-2681
21ur.type2-2683	21ur.type2-2683	21ur.type2-2683
